Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
Adult Income,duplicates_minority,low,automated_cleaning,drop exact duplicates,0.018758899997919798,25335,24116,-4.8115255575291105,6.730894327163696,6.749653227161616
Adult Income,duplicates_minority,medium,automated_cleaning,drop exact duplicates,0.019802599999820814,26541,24116,-9.136807203948608,6.6843180656433105,6.704120665643131
Adult Income,duplicates_minority,high,automated_cleaning,drop exact duplicates,0.020365500007756054,27748,24116,-13.089231656335592,6.656099796295166,6.676465296302922
Adult Income,duplicates_targeted,low,automated_cleaning,drop exact duplicates,0.018969299999298528,25335,24116,-4.8115255575291105,6.521142959594727,6.540112259594025
Adult Income,duplicates_targeted,medium,automated_cleaning,drop exact duplicates,0.02058410001336597,26541,24116,-9.136807203948608,6.562533617019653,6.583117717033019
Adult Income,duplicates_targeted,high,automated_cleaning,drop exact duplicates,0.02080470000510104,27748,24116,-13.089231656335592,6.476868152618408,6.497672852623509
Adult Income,feature_noise,low,automated_cleaning,shrink toward median,0.03848029999062419,24129,24129,0.0,6.737056255340576,6.7755365553312
Adult Income,feature_noise,medium,automated_cleaning,shrink toward median,0.036775800021132454,24129,24129,0.0,6.692475080490112,6.729250880511245
Adult Income,feature_noise,high,automated_cleaning,shrink toward median,0.03818370000226423,24129,24129,0.0,6.694973945617676,6.73315764561994
Adult Income,feature_noise_targeted,low,automated_cleaning,shrink toward median,0.03505879998556338,24129,24129,0.0,6.631321668624878,6.666380468610441
Adult Income,feature_noise_targeted,medium,automated_cleaning,shrink toward median,0.03509459999622777,24129,24129,0.0,6.615578889846802,6.6506734898430295
Adult Income,feature_noise_targeted,high,automated_cleaning,shrink toward median,0.03618789999745786,24129,24129,0.0,6.771480560302734,6.807668460300192
Adult Income,imbalanced_feature_distribution,low,automated_cleaning,quantile transform,0.025609000003896654,24129,24129,0.0,6.610815525054932,6.636424525058828
Adult Income,imbalanced_feature_distribution,medium,automated_cleaning,quantile transform,0.02508800002397038,24129,24129,0.0,6.594853401184082,6.619941401208052
Adult Income,imbalanced_feature_distribution,high,automated_cleaning,quantile transform,0.022269000008236617,24129,24129,0.0,6.652336597442627,6.674605597450864
Adult Income,invalid_values,low,automated_cleaning,sentinel to NaN then impute,0.009809600014705211,24129,24129,0.0,6.644829034805298,6.654638634820003
Adult Income,invalid_values,medium,automated_cleaning,sentinel to NaN then impute,0.009564500011038035,24129,24129,0.0,6.044198036193848,6.053762536204886
Adult Income,invalid_values,high,automated_cleaning,sentinel to NaN then impute,0.009711100021377206,24129,24129,0.0,6.5291221141815186,6.538833214202896
Adult Income,missing_values,low,automated_cleaning,KNN imputation,12.413532899983693,24129,24129,0.0,6.4319894313812265,18.84552233136492
Adult Income,missing_values,medium,automated_cleaning,KNN imputation,24.403720699978294,24129,24129,0.0,6.604077339172363,31.007798039150657
Adult Income,missing_values,high,automated_cleaning,KNN imputation,33.588263700017706,24129,24129,0.0,6.624115228652954,40.21237892867066
Adult Income,missing_values_mnar,low,automated_cleaning,KNN imputation,12.825505499989958,24129,24129,0.0,6.63567852973938,19.46118402972934
Adult Income,missing_values_mnar,medium,automated_cleaning,KNN imputation,21.805890399991767,24129,24129,0.0,6.520087242126465,28.325977642118232
Adult Income,missing_values_mnar,high,automated_cleaning,KNN imputation,27.10087220001151,24129,24129,0.0,6.458487272262573,33.55935947227408
Adult Income,outliers,low,automated_cleaning,IQR clipping,0.00838010001461953,24129,24129,0.0,6.768984794616699,6.777364894631319
Adult Income,outliers,medium,automated_cleaning,IQR clipping,0.0078747000079602,24129,24129,0.0,6.948816776275635,6.956691476283595
Adult Income,outliers,high,automated_cleaning,IQR clipping,0.007908200001111254,24129,24129,0.0,6.938575506210327,6.946483706211438
Adult Income,outliers_targeted,low,automated_cleaning,IQR clipping,0.007460499997250736,24129,24129,0.0,6.9824724197387695,6.98993291973602
Adult Income,outliers_targeted,medium,automated_cleaning,IQR clipping,0.007844900013878942,24129,24129,0.0,7.005185604095459,7.013030504109338
Adult Income,outliers_targeted,high,automated_cleaning,IQR clipping,0.007527200010372326,24129,24129,0.0,7.052407741546631,7.059934941557003
Adult Income,redundant_features,low,automated_cleaning,drop correlated features,0.0032964999845717102,24129,24129,0.0,7.490629434585571,7.493925934570143
Adult Income,redundant_features,medium,automated_cleaning,drop correlated features,0.004526899982010946,24129,24129,0.0,7.344581842422485,7.349108742404496
Adult Income,redundant_features,high,automated_cleaning,drop correlated features,0.005069000006187707,24129,24129,0.0,6.686820030212402,6.69188903021859
Adult Income,typographical_errors,low,automated_cleaning,fuzzy match to known categories,1.3370319999812637,24129,24129,0.0,6.640738248825073,7.977770248806337
Adult Income,typographical_errors,medium,automated_cleaning,fuzzy match to known categories,1.9081011000089347,24129,24129,0.0,6.519633054733276,8.427734154742211
Adult Income,typographical_errors,high,automated_cleaning,fuzzy match to known categories,2.547351399989566,24129,24129,0.0,6.450803518295288,8.998154918284854
Bank Marketing,categorical_errors,low,automated_cleaning,validate against vocabulary,0.028277100005652755,36168,36168,0.0,10.596356630325316,10.624633730330968
Bank Marketing,categorical_errors,medium,automated_cleaning,validate against vocabulary,0.029050699988147244,36168,36168,0.0,10.518144607543945,10.547195307532093
Bank Marketing,categorical_errors,high,automated_cleaning,validate against vocabulary,0.027298100001644343,36168,36168,0.0,10.440898895263672,10.468196995265316
Bank Marketing,class_imbalance,low,automated_cleaning,oversample minority,0.00716649999958463,35745,63874,78.69352356973003,18.617334604263306,18.62450110426289
Bank Marketing,class_imbalance,medium,automated_cleaning,oversample minority,0.007749899988994002,35111,63874,81.92019594998719,18.70957612991333,18.717326029902324
Bank Marketing,class_imbalance,high,automated_cleaning,oversample minority,0.00776659999974072,34476,63874,85.2709130989674,18.853310346603394,18.861076946603134
Bank Marketing,contextual_errors,low,automated_cleaning,IQR clipping,0.012732800008961931,36168,36168,0.0,10.699947834014893,10.712680634023855
Bank Marketing,contextual_errors,medium,automated_cleaning,IQR clipping,0.014408299990464002,36168,36168,0.0,10.702542304992678,10.716950604983142
