Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,label_noise,high,LightGBM,dirty,0.938596491,0.948717949,0.880952381,0.913580247,0.978505291,0.021483421,455,30,"{'error_type': 'label_noise', 'intended_rate': 15, 'actual_rate': 14.945054945054945, 'labels_flipped': 68, 'injection_version': 1}"
Breast Cancer,duplicates,low,Logistic Regression,dirty,0.964912281,0.975,0.928571429,0.951219512,0.995701058,0.00587678,477,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1}"
Breast Cancer,duplicates,low,Gaussian Naive Bayes,dirty,0.921052632,0.923076923,0.857142857,0.888888889,0.989417989,0.000977039,477,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1}"
Breast Cancer,duplicates,low,KNN,dirty,0.956140351,0.974358974,0.904761905,0.938271605,0.983134921,0,477,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1}"
Breast Cancer,duplicates,low,MLP,dirty,0.964912281,1,0.904761905,0.95,0.994708995,0.138476133,477,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1}"
Breast Cancer,duplicates,low,Decision Tree,dirty,0.929824561,0.904761905,0.904761905,0.904761905,0.924603175,0.004883051,477,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1}"
Breast Cancer,duplicates,low,Random Forest,dirty,0.973684211,1,0.928571429,0.962962963,0.994047619,0.090475798,477,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1}"
Breast Cancer,duplicates,low,XGBoost,dirty,0.964912281,1,0.904761905,0.95,0.995701058,0.055706263,477,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1}"
Breast Cancer,duplicates,low,LightGBM,dirty,0.964912281,1,0.904761905,0.95,0.993386243,0.032225847,477,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1}"
Breast Cancer,duplicates,low,Logistic Regression,cleaned,0.964912281,0.975,0.928571429,0.951219512,0.996031746,0.00587678,455,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'drop exact duplicates', 'reason': 'exact-match deduplication', 'rows_before': 477, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,duplicates,low,Gaussian Naive Bayes,cleaned,0.921052632,0.923076923,0.857142857,0.888888889,0.989087302,0.000974894,455,30,"{'error_type': 'duplicates', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'duplicates_added': 22, 'original_rows': 455, 'corrupted_rows': 477, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'drop exact duplicates', 'reason': 'exact-match deduplication', 'rows_before': 477, 'rows_after': 455, 'test_transformed': False}"
