Dataset,Error_Type,Severity,Model,Dirty_Accuracy,Clean_Accuracy,Cleaned_Accuracy,Damage_pp,Improvement_pp,Route,Family
Breast Cancer,missing_values_mnar,medium,Logistic Regression,0.9912280701754386,0.9649122807017544,0.9824561403508772,-2.631578947368418,-0.877192982456132,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,medium,MLP,0.9824561403508772,0.9649122807017544,0.9736842105263158,-1.7543859649122862,-0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,medium,Random Forest,0.9736842105263158,0.9736842105263158,0.956140350877193,0.0,-1.7543859649122862,automated_cleaning,tree
Breast Cancer,missing_values_mnar,medium,XGBoost,0.9473684210526316,0.9649122807017544,0.9473684210526316,1.754385964912275,0.0,automated_cleaning,tree
Breast Cancer,outliers,high,Decision Tree,0.956140350877193,0.9298245614035088,0.956140350877193,-2.631578947368418,0.0,automated_cleaning,tree
Breast Cancer,outliers,high,Gaussian Naive Bayes,0.8771929824561403,0.9210526315789472,0.9298245614035088,4.385964912280693,5.263157894736848,automated_cleaning,non-tree
Breast Cancer,outliers,high,KNN,0.8771929824561403,0.956140350877193,0.9035087719298246,7.8947368421052655,2.6315789473684292,automated_cleaning,non-tree
Breast Cancer,outliers,high,LightGBM,0.9473684210526316,0.9736842105263158,0.9473684210526316,2.631578947368418,0.0,automated_cleaning,tree
Breast Cancer,outliers,high,Logistic Regression,0.9298245614035088,0.9649122807017544,0.9473684210526316,3.508771929824561,1.7543859649122862,automated_cleaning,non-tree
Breast Cancer,outliers,high,MLP,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.0,0.0,automated_cleaning,non-tree
Breast Cancer,outliers,high,Random Forest,0.9649122807017544,0.9736842105263158,0.9649122807017544,0.8771929824561431,0.0,automated_cleaning,tree
Breast Cancer,outliers,high,XGBoost,0.9649122807017544,0.9649122807017544,0.9736842105263158,0.0,0.8771929824561431,automated_cleaning,tree
Breast Cancer,outliers,low,Decision Tree,0.912280701754386,0.9298245614035088,0.912280701754386,1.754385964912275,0.0,automated_cleaning,tree
Breast Cancer,outliers,low,Gaussian Naive Bayes,0.9385964912280702,0.9210526315789472,0.9298245614035088,-1.7543859649122973,-0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,outliers,low,KNN,0.9473684210526316,0.956140350877193,0.956140350877193,0.877192982456132,0.877192982456132,automated_cleaning,non-tree
Breast Cancer,outliers,low,LightGBM,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.0,0.0,automated_cleaning,tree
Breast Cancer,outliers,low,Logistic Regression,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.0,0.0,automated_cleaning,non-tree
Breast Cancer,outliers,low,MLP,0.9736842105263158,0.9649122807017544,0.9736842105263158,-0.8771929824561431,0.0,automated_cleaning,non-tree
Breast Cancer,outliers,low,Random Forest,0.9649122807017544,0.9736842105263158,0.9736842105263158,0.8771929824561431,0.8771929824561431,automated_cleaning,tree
Breast Cancer,outliers,low,XGBoost,0.9736842105263158,0.9649122807017544,0.9736842105263158,-0.8771929824561431,0.0,automated_cleaning,tree
Breast Cancer,outliers,medium,Decision Tree,0.9649122807017544,0.9298245614035088,0.9649122807017544,-3.508771929824561,0.0,automated_cleaning,tree
Breast Cancer,outliers,medium,Gaussian Naive Bayes,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.0,0.0,automated_cleaning,non-tree
Breast Cancer,outliers,medium,KNN,0.9473684210526316,0.956140350877193,0.9473684210526316,0.877192982456132,0.0,automated_cleaning,non-tree
Breast Cancer,outliers,medium,LightGBM,0.9736842105263158,0.9736842105263158,0.9649122807017544,0.0,-0.8771929824561431,automated_cleaning,tree
Breast Cancer,outliers,medium,Logistic Regression,0.956140350877193,0.9649122807017544,0.956140350877193,0.8771929824561431,0.0,automated_cleaning,non-tree
Breast Cancer,outliers,medium,MLP,0.9736842105263158,0.9649122807017544,0.956140350877193,-0.8771929824561431,-1.7543859649122862,automated_cleaning,non-tree
Breast Cancer,outliers,medium,Random Forest,0.9649122807017544,0.9736842105263158,0.9736842105263158,0.8771929824561431,0.8771929824561431,automated_cleaning,tree
Breast Cancer,outliers,medium,XGBoost,0.9736842105263158,0.9649122807017544,0.9736842105263158,-0.8771929824561431,0.0,automated_cleaning,tree
Breast Cancer,outliers_targeted,high,Decision Tree,0.9035087719298246,0.9298245614035088,0.9035087719298246,2.631578947368418,0.0,automated_cleaning,tree
Breast Cancer,outliers_targeted,high,Gaussian Naive Bayes,0.8859649122807017,0.9210526315789472,0.8859649122807017,3.50877192982455,0.0,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,high,KNN,0.9035087719298246,0.956140350877193,0.8947368421052632,5.263157894736836,-0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,high,LightGBM,0.9649122807017544,0.9736842105263158,0.9649122807017544,0.8771929824561431,0.0,automated_cleaning,tree
Breast Cancer,outliers_targeted,high,Logistic Regression,0.9473684210526316,0.9649122807017544,0.9649122807017544,1.754385964912275,1.754385964912275,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,high,MLP,0.956140350877193,0.9649122807017544,0.9649122807017544,0.8771929824561431,0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,high,Random Forest,0.9385964912280702,0.9736842105263158,0.9385964912280702,3.508771929824561,0.0,automated_cleaning,tree
Breast Cancer,outliers_targeted,high,XGBoost,0.956140350877193,0.9649122807017544,0.9473684210526316,0.8771929824561431,-0.877192982456132,automated_cleaning,tree
Breast Cancer,outliers_targeted,low,Decision Tree,0.9210526315789472,0.9298245614035088,0.9210526315789472,0.8771929824561542,0.0,automated_cleaning,tree
Breast Cancer,outliers_targeted,low,Gaussian Naive Bayes,0.9035087719298246,0.9210526315789472,0.9210526315789472,1.754385964912264,1.754385964912264,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,low,KNN,0.9385964912280702,0.956140350877193,0.9385964912280702,1.754385964912275,0.0,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,low,LightGBM,0.9649122807017544,0.9736842105263158,0.956140350877193,0.8771929824561431,-0.8771929824561431,automated_cleaning,tree
Breast Cancer,outliers_targeted,low,Logistic Regression,0.9736842105263158,0.9649122807017544,0.9824561403508772,-0.8771929824561431,0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,low,MLP,0.9736842105263158,0.9649122807017544,0.9824561403508772,-0.8771929824561431,0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,low,Random Forest,0.9649122807017544,0.9736842105263158,0.9649122807017544,0.8771929824561431,0.0,automated_cleaning,tree
Breast Cancer,outliers_targeted,low,XGBoost,0.956140350877193,0.9649122807017544,0.956140350877193,0.8771929824561431,0.0,automated_cleaning,tree
Breast Cancer,outliers_targeted,medium,Decision Tree,0.9385964912280702,0.9298245614035088,0.9385964912280702,-0.8771929824561431,0.0,automated_cleaning,tree
Breast Cancer,outliers_targeted,medium,Gaussian Naive Bayes,0.8947368421052632,0.9210526315789472,0.8859649122807017,2.631578947368407,-0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,medium,KNN,0.956140350877193,0.956140350877193,0.9736842105263158,0.0,1.7543859649122862,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,medium,LightGBM,0.956140350877193,0.9736842105263158,0.9736842105263158,1.7543859649122862,1.7543859649122862,automated_cleaning,tree
Breast Cancer,outliers_targeted,medium,Logistic Regression,0.9473684210526316,0.9649122807017544,0.9649122807017544,1.754385964912275,1.754385964912275,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,medium,MLP,0.956140350877193,0.9649122807017544,0.9736842105263158,0.8771929824561431,1.7543859649122862,automated_cleaning,non-tree
Breast Cancer,outliers_targeted,medium,Random Forest,0.9736842105263158,0.9736842105263158,0.9649122807017544,0.0,-0.8771929824561431,automated_cleaning,tree
Breast Cancer,outliers_targeted,medium,XGBoost,0.9649122807017544,0.9649122807017544,0.956140350877193,0.0,-0.8771929824561431,automated_cleaning,tree
Breast Cancer,provenance_issues,high,Decision Tree,0.956140350877193,0.9298245614035088,,-2.631578947368418,,external_intervention,tree
Breast Cancer,provenance_issues,high,Gaussian Naive Bayes,0.912280701754386,0.9210526315789472,,0.8771929824561209,,external_intervention,non-tree
Breast Cancer,provenance_issues,high,KNN,0.9385964912280702,0.956140350877193,,1.754385964912275,,external_intervention,non-tree
Breast Cancer,provenance_issues,high,LightGBM,0.9736842105263158,0.9736842105263158,,0.0,,external_intervention,tree
Breast Cancer,provenance_issues,high,Logistic Regression,0.9649122807017544,0.9649122807017544,,0.0,,external_intervention,non-tree
Breast Cancer,provenance_issues,high,MLP,0.9649122807017544,0.9649122807017544,,0.0,,external_intervention,non-tree
Breast Cancer,provenance_issues,high,Random Forest,0.9736842105263158,0.9736842105263158,,0.0,,external_intervention,tree
Breast Cancer,provenance_issues,high,XGBoost,0.9649122807017544,0.9649122807017544,,0.0,,external_intervention,tree
Breast Cancer,provenance_issues,low,Decision Tree,0.9385964912280702,0.9298245614035088,,-0.8771929824561431,,external_intervention,tree
Breast Cancer,provenance_issues,low,Gaussian Naive Bayes,0.9385964912280702,0.9210526315789472,,-1.7543859649122973,,external_intervention,non-tree
Breast Cancer,provenance_issues,low,KNN,0.9649122807017544,0.956140350877193,,-0.8771929824561431,,external_intervention,non-tree
Breast Cancer,provenance_issues,low,LightGBM,0.9649122807017544,0.9736842105263158,,0.8771929824561431,,external_intervention,tree
Breast Cancer,provenance_issues,low,Logistic Regression,0.9736842105263158,0.9649122807017544,,-0.8771929824561431,,external_intervention,non-tree
Breast Cancer,provenance_issues,low,MLP,0.9649122807017544,0.9649122807017544,,0.0,,external_intervention,non-tree
Breast Cancer,provenance_issues,low,Random Forest,0.956140350877193,0.9736842105263158,,1.7543859649122862,,external_intervention,tree
Breast Cancer,provenance_issues,low,XGBoost,0.9736842105263158,0.9649122807017544,,-0.8771929824561431,,external_intervention,tree
Breast Cancer,provenance_issues,medium,Decision Tree,0.9298245614035088,0.9298245614035088,,0.0,,external_intervention,tree
Breast Cancer,provenance_issues,medium,Gaussian Naive Bayes,0.9298245614035088,0.9210526315789472,,-0.8771929824561542,,external_intervention,non-tree
Breast Cancer,provenance_issues,medium,KNN,0.9385964912280702,0.956140350877193,,1.754385964912275,,external_intervention,non-tree
Breast Cancer,provenance_issues,medium,LightGBM,0.9736842105263158,0.9736842105263158,,0.0,,external_intervention,tree
Breast Cancer,provenance_issues,medium,Logistic Regression,0.9736842105263158,0.9649122807017544,,-0.8771929824561431,,external_intervention,non-tree
